,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
0,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,A*,48142.0,1.0,8517.0,7821.0,0.0,0.0274
1,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,I-A*,-,1.0,17742.0,7821.0,0.0,0.0274
2,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,MM,7595.0,1.0,1164.0,1164.0,0.0,0.0025
3,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,I-MM,-,1.0,1350.0,1164.0,0.0,0.0025
4,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,MM+IDMM(0.90),6835,1.0,8662.0,1906.0,0.0,0.1175
5,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,MM+IDMM(0.75),5696,1.0,10355.0,2068.0,0.0,0.1147
6,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,MM+IDMM(0.50),3797,1.0,19216.0,2182.0,0.0,0.1473
7,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,MM+IDMM(0.25),1898,1.0,10038.0,2246.0,0.0,0.112
8,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,MM+IDMM(0.10),759,1.0,12808.0,4393.0,0.0,0.0708
9,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,A*+IDA*(0.90),6835,1.0,17648.0,12943.0,0.0,0.0194
10,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,A*+IDA*(0.75),5696,1.0,19163.0,12951.0,0.0,0.0202
11,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,A*+IDA*(0.50),3797,1.0,20454.0,13353.0,0.0,0.0203
12,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,A*+IDA*(0.25),1898,1.0,34127.0,13774.0,0.0,0.0315
13,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,A*+IDA*(0.10),759,1.0,69370.0,14321.0,0.0,0.0632
14,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,"MBBDS(k=1,ThreePhase=1)(0.90)",6835,1.0,4091.0,2956.0,6.0,0.0048
15,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,"MBBDS(k=1,ThreePhase=1)(0.75)",5696,1.0,3931.0,2956.0,6.0,0.0044
16,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,"MBBDS(k=1,ThreePhase=1)(0.50)",3797,1.0,3810.0,3111.0,8.0,0.0038
17,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,"MBBDS(k=1,ThreePhase=1)(0.25)",1898,1.0,3386.0,2956.0,6.0,0.0029
18,10.0,3.0,1.0, 6 5 0 7 3 2 4 9 8 1, 0 1 2 3 4 5 6 7 8 9,3.0,"MBBDS(k=1,ThreePhase=1)(0.10)",759,1.0,4193.0,3809.0,10.0,0.0032
19,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,A*,248287.0,1.0,55319.0,17547.0,0.0,0.1785
20,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,I-A*,-,1.0,75702.0,17547.0,0.0,0.1785
21,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,MM,28989.0,1.0,4654.0,3456.0,0.0,0.0099
22,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,I-MM,-,1.0,6113.0,3456.0,0.0,0.0099
23,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.90),26090,1.0,10459.0,5812.0,0.0,0.2859
24,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.75),21741,1.0,19662.0,6936.0,0.0,0.7955
25,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.50),14494,1.0,10687.0,2092.0,0.0,0.2429
26,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.25),7247,1.0,27355.0,9194.0,0.0,1.3013
27,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,MM+IDMM(0.10),2898,1.0,144797.0,26315.0,0.0,0.6812
28,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,A*+IDA*(0.90),26090,1.0,69811.0,32978.0,0.0,0.0812
29,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,A*+IDA*(0.75),21741,1.0,104610.0,33139.0,0.0,0.1131
30,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,A*+IDA*(0.50),14494,1.0,163174.0,29276.0,0.0,0.163
31,10.0,3.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,5.0,A*+IDA*(0.25),7247,1.0,182753.0,31903.0,0.0,0.1727
