,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
27,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.10),622,1.0,2067705.0,381067.0,0.0,2.3928
28,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.90),5603,1.0,15268.0,3122.0,0.0,0.0171
29,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.75),4669,1.0,15466.0,2780.0,0.0,0.0166
30,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.50),3113,1.0,17635.0,2219.0,0.0,0.0175
31,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.25),1556,1.0,18232.0,1840.0,0.0,0.0174
32,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.10),622,1.0,20687.0,1766.0,0.0,0.0195
33,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.90)",5603,1.0,3553.0,936.0,3.0,0.0038
34,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.75)",4669,1.0,4082.0,1593.0,5.0,0.004
35,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.50)",3113,1.0,3857.0,1593.0,5.0,0.0034
36,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.25)",1556,1.0,5672.0,2317.0,9.0,0.004
37,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.10)",622,1.0,8943.0,3682.0,12.0,0.0058
38,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*,50419.0,1.0,8766.0,8714.0,0.0,0.0257
39,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,18413.0,8714.0,0.0,0.0257
40,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM,17644.0,1.0,3940.0,3940.0,0.0,0.0076
41,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,I-MM,-,1.0,5188.0,3940.0,0.0,0.0076
42,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.90),15879,1.0,2667945.0,2653174.0,0.0,3.2928
43,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.75),13233,1.0,4367648.0,4295184.0,0.0,5.522
44,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.50),8822,1.0,4301924.0,4246809.0,0.0,5.3902
45,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.25),4411,1.0,4950905.0,4811894.0,0.0,6.097
