,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Necessary Expansions,Mean Iterations,Mean Runtime(Seconds)
0,2.0,A*,0.0,7117.0,6885.0,0.0,0.019
1,2.0,I-A*,0.0,15222.0,6885.0,0.0,0.019
2,2.0,MM,0.0,2053.0,1874.0,0.0,0.004
3,2.0,I-MM,0.0,3032.0,1874.0,0.0,0.004
4,2.0,IDA*,0.0,43571.0,20154.0,0.0,0.023
5,2.0,D-A*,0.0,39392.0,20154.0,0.0,0.023
6,2.0,MM+IDMM(0.90),0.0,3283.0,2289.0,0.0,0.323
7,2.0,MM+IDMM(0.75),0.0,3393.0,2210.0,0.0,0.293
8,2.0,MM+IDMM(0.50),0.0,4162.0,2411.0,0.0,0.38
9,2.0,MM+IDMM(0.25),0.0,5918.0,3969.0,0.0,0.24
10,2.0,MM+IDMM(0.10),0.0,8714.0,5387.0,0.0,0.137
11,2.0,A*+IDA*(0.90),0.0,10225.0,12995.0,0.0,0.015
12,2.0,A*+IDA*(0.75),0.0,11124.0,12971.0,0.0,0.015
13,2.0,A*+IDA*(0.50),0.0,13994.0,12947.0,0.0,0.016
14,2.0,A*+IDA*(0.25),0.0,19419.0,14003.0,0.0,0.02
15,2.0,A*+IDA*(0.10),0.0,23553.0,15855.0,0.0,0.023
16,2.0,"MBBDS(k=1,ThreePhase=1)(0.90)",0.0,9004.0,4768.0,4.0,0.009
17,2.0,"MBBDS(k=1,ThreePhase=1)(0.75)",0.0,8840.0,4942.0,5.0,0.009
18,2.0,"MBBDS(k=1,ThreePhase=1)(0.50)",0.0,8728.0,5282.0,5.0,0.008
19,2.0,"MBBDS(k=1,ThreePhase=1)(0.25)",0.0,10674.0,6659.0,7.0,0.008
20,2.0,"MBBDS(k=1,ThreePhase=1)(0.10)",0.0,33343.0,10251.0,18.0,0.028
21,2.0,IDMM,0.0,33682.0,14439.0,0.0,0.036
22,2.0,D-MM,0.0,15529.0,14439.0,0.0,0.036
