,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
28,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,D-A*,-,1.0,2868.0,1458.0,0.0,0.0017
29,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.90),5603,1.0,1080.0,758.0,0.0,0.043
30,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.75),4669,1.0,1157.0,773.0,0.0,0.0553
31,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.50),3113,1.0,1326.0,681.0,0.0,0.0408
32,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.25),1556,1.0,2569.0,805.0,0.0,0.0675
33,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.10),622,1.0,3565.0,1049.0,0.0,0.024
34,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.90),5603,1.0,15268.0,3122.0,0.0,0.0172
35,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.75),4669,1.0,15466.0,2780.0,0.0,0.0167
36,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.50),3113,1.0,17635.0,2219.0,0.0,0.0176
37,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.25),1556,1.0,18232.0,1840.0,0.0,0.0174
38,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.10),622,1.0,20687.0,1766.0,0.0,0.0195
39,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.90)",5603,1.0,3553.0,936.0,3.0,0.0038
40,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.75)",4669,1.0,4082.0,1593.0,5.0,0.004
41,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.50)",3113,1.0,3857.0,1593.0,5.0,0.0034
42,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.25)",1556,1.0,5672.0,2317.0,9.0,0.004
43,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.10)",622,1.0,8943.0,3682.0,12.0,0.0058
44,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,IDMM,-,1.0,3539.0,1789.0,0.0,0.0038
45,10.0,2.0,2.0, 1 7 3 9 5 4 8 2 6 0, 0 1 2 3 4 5 6 7 8 9,7.0,D-MM,-,1.0,1971.0,1789.0,0.0,0.0038
