,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Runtime(seconds)
24,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.75),78454,1.0,189427.0,0.3966
25,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.50),52303,1.0,270366.0,0.5198
26,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.25),26151,1.0,361372.0,0.6604
27,16.0,0.0,4.0, 15 12 13 14 8 10 9 11 0 2 1 3 5 4 7 6, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.10),10460,1.0,3189503.0,5.6117
28,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MM,1173771.0,1.0,97274.0,1.3754
29,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,I-MM,-,1.0,286721.0,1.3754
30,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.90),1056393,1.0,1474325.0,4.2701
31,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.75),880328,1.0,1459288.0,3.8711
32,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.50),586885,1.0,1435201.0,3.4045
33,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.25),293442,1.0,2259543.0,4.2794
